accession,id,description,keyword,,,,
PF07160,SKA1,Spindle and kinetochore-associated protein 1 ,chromossome,,,,
PF07404,TEBP_beta,Telomere-binding protein beta subunit (TEBP beta),chromossome,,,,
PF08202,MIS13,Mis12-Mtw1 protein family,chromossome,,,,
PF13096,CENP-P,"CENP-A-nucleosome distal (CAD) centromere subunit, CENP-P",chromossome,,,,
PF15678,SPICE,Centriole duplication and mitotic chromosome congression,chromossome,,,,
PF16740,SKA2,Spindle and kinetochore-associated protein 2,chromossome,,,,
PF09074,Mer2,Mer2,chromossome,,,,
PF12619,MCM2_N,Mini-chromosome maintenance protein 2,chromossome,,,,
PF00772,DnaB,DnaB-like helicase N terminal domain,chromossome,,,,
PF01840,TCL1_MTCP1,TCL1/MTCP1 family,chromossome,,,,
PF02022,Integrase_Zn,Integrase Zinc binding domain,chromossome,,,,
PF02281,Dimer_Tnp_Tn5,Transposase Tn5 dimerisation domain,chromossome,,,,
PF03152,UFD1,Ubiquitin fusion degradation protein UFD1,chromossome,,,,
PF03154,Atrophin-1,Atrophin-1 family,chromossome,,,,
PF03796,DnaB_C,DnaB-like helicase C terminal domain,chromossome,,,,
PF03925,SeqA,SeqA protein C-terminal domain,chromossome,,,,
PF04364,DNA_pol3_chi,"DNA polymerase III chi subunit, HolC",chromossome,,,,
PF04803,Cor1,Cor1/Xlr/Xmr conserved region,chromossome,,,,
PF04988,AKAP95,A-kinase anchoring protein 95 (AKAP95),chromossome,,,,
PF05461,ApoL,Apolipoprotein L,chromossome,,,,
PF05483,SCP-1,Synaptonemal complex protein 1 (SCP-1),chromossome,,,,
PF05918,API5,Apoptosis inhibitory protein 5 (API5),chromossome,,,,
PF06114,Peptidase_M78,IrrE N-terminal-like domain,chromossome,,,,
PF06156,YabA,Initiation control protein YabA,chromossome,,,,
PF06176,WaaY,Lipopolysaccharide core biosynthesis protein (WaaY),chromossome,,,,
PF06209,COBRA1,Cofactor of BRCA1 (COBRA1),chromossome,,,,
PF06581,p31comet,Mad1 and Cdc20-bound-Mad2 binding,chromossome,,,,
PF06582,Titin_Ig-rpts,Titin repeat,chromossome,,,,
PF06729,CENP-R,"Kinetochore component, CENP-R",chromossome,,,,
PF06992,Phage_lambda_P,Replication protein P,chromossome,,,,
PF07263,DMP1,Dentin matrix protein 1 (DMP1),chromossome,,,,
PF07459,CTX_RstB,CTX phage RstB protein,chromossome,,,,
PF08814,XisH,XisH protein,chromossome,,,,
PF08869,XisI,XisI protein,chromossome,,,,
PF09343,DUF2460,Conserved hypothetical protein 2217 (DUF2460),chromossome,,,,
PF09648,YycI,YycH protein,chromossome,,,,
PF09690,PYST-C1,Plasmodium yoelii subtelomeric region (PYST-C1),chromossome,,,,
PF09716,ETRAMP,Malarial early transcribed membrane protein (ETRAMP),chromossome,,,,
PF09720,Unstab_antitox,Putative addiction module component,chromossome,,,,
PF09770,PAT1,Topoisomerase II-associated protein PAT1,chromossome,,,,
PF10269,Tmemb_185A,Transmembrane Fragile-X-F protein ,chromossome,,,,
PF10376,Mei5,Double-strand recombination repair protein ,chromossome,,,,
PF10407,Cytokin_check_N,Cdc14 phosphatase binding protein N-terminus ,chromossome,,,,
PF10422,LRS4,Monopolin complex subunit LRS4,chromossome,,,,
PF10729,CedA,Cell division activator CedA,chromossome,,,,
PF10743,Phage_Cox,Regulatory phage protein cox,chromossome,,,,
PF11029,DAZAP2,DAZ associated protein 2 (DAZAP2),chromossome,,,,
PF11111,CENP-M,Centromere protein M (CENP-M),chromossome,,,,
PF11764,N-SET,COMPASS (Complex proteins associated with Set1p) component N,chromossome,,,,
PF12178,INCENP_N,Chromosome passenger complex (CPC) protein INCENP N terminal,chromossome,,,,
PF12538,FtsK_SpoIIIE_N,DNA transporter ,chromossome,,,,
PF12659,Stn1_C,Telomere capping C-terminal wHTH,chromossome,,,,
PF12859,ANAPC1,Anaphase-promoting complex subunit 1,chromossome,,,,
PF12926,MOZART2,Mitotic-spindle organizing gamma-tubulin ring associated,chromossome,,,,
PF13097,CENP-U,CENP-A nucleosome associated complex (NAC) subunit,chromossome,,,,
PF13971,Mei4,Meiosis-specific protein Mei4,chromossome,,,,
PF14264,Glucos_trans_II,Glucosyl transferase GtrII,chromossome,,,,
PF14662,KASH_CCD,Coiled-coil region of CCDC155 or KASH,chromossome,,,,
PF15003,HAUS2,HAUS augmin-like complex subunit 2 ,chromossome,,,,
PF15077,MAJIN,Membrane-anchored junction protein ,chromossome,,,,
PF15231,VCX_VCY,Variable charge X/Y family,chromossome,,,,
PF15315,FRG2,Facioscapulohumeral muscular dystrophy candidate 2,chromossome,,,,
PF15334,AIB,Aurora kinase A and ninein interacting protein,chromossome,,,,
PF15373,DUF4601,Domain of unknown function (DUF4601),chromossome,,,,
PF16085,Phage_holin_3_5,"Bacteriophage holin Hol, superfamily III",chromossome,,,,
PF16801,MSL1_dimer,Dimerisation domain of Male-specific-Lethal 1,chromossome,,,,
PF16869,CNDH2_M,PF16858,chromossome,,,,
PF17206,SeqA_N,SeqA protein N-terminal domain,chromossome,,,,
PF17378,REC104,Meiotic recombination protein REC104,chromossome,,,,
PF00552,IN_DBD_C,Integrase DNA binding domain,chromossome,,,,
PF03630,Fumble,Fumble ,chromossome,,,,
PF03652,RuvX,Holliday junction resolvase,chromossome,,,,
PF04014,MazE_antitoxin,"Antidote-toxin recognition MazE, bacterial antitoxin",chromossome,,,,
PF04217,DUF412,"Protein of unknown function, DUF412",chromossome,,,,
PF04500,FLYWCH,FLYWCH zinc finger domain,chromossome,,,,
PF05890,Ebp2,Eukaryotic rRNA processing protein EBP2,chromossome,,,,
PF06047,Nkap_C,NF-kappa-B-activating protein C-terminal domain,chromossome,,,,
PF06732,Pescadillo_N,Pescadillo N-terminus,chromossome,,,,
PF07326,RCS1,Regulator of chromosome segregation 1,chromossome,,,,
PF08839,CDT1,DNA replication factor CDT1 like,chromossome,,,,
PF10541,KASH,Nuclear envelope localisation domain,chromossome,,,,
PF10960,Holin_BhlA,BhlA holin family,chromossome,,,,
PF12554,MOZART1,Mitotic-spindle organizing gamma-tubulin ring associated,chromossome,,,,
PF14934,DUF4499,Domain of unknown function (DUF4499),chromossome,,,,
PF14937,DUF4500,Domain of unknown function (DUF4500),chromossome,,,,
PF15257,DUF4590,Domain of unknown function (DUF4590),chromossome,,,,
PF15258,FAM222A,Protein family of FAM222A,chromossome,,,,
PF15262,DUF4592,Domain of unknown function (DUF4592),chromossome,,,,
PF17085,UCMA,Unique cartilage matrix associated protein,chromossome,,,,
PF17300,FIN1,Filaments in between nuclei protein-1,chromossome,,,,
PF17917,RT_RNaseH,RNase H-like domain found in reverse transcriptase,chromossome,,,,
PF17981,ADD_ATRX,Cysteine Rich ADD domain,chromossome,,,,
PF18103,SH3_11,Retroviral integrase C-terminal SH3 domain,chromossome,,,,
PF18122,APC1_C,Anaphase-promoting complex sub unit 1 C-terminal domain ,chromossome,,,,
PF18263,MCM6_C,MCM6 C-terminal winged-helix domain,chromossome,,,,
PF18358,Tudor_4,Histone methyltransferase Tudor domain,chromossome,,,,
PF18359,TUDOR_5,Histone methyltransferase Tudor domain 1,chromossome,,,,
PF18517,LZ3wCH,Leucine zipper with capping helix domain,chromossome,,,,
PF18580,Sun2_CC2,SUN2 coiled coil domain 2,chromossome,,,,
PF18644,Phage_int_SAM_6,Phage integrase SAM-like domain,chromossome,,,,
PF18662,HTH_56,Cch helix turn helix domain,chromossome,,,,
PF04855,SNF5,SNF5 / SMARCB1 / INI1,chromatin,,,,
PF00176,SNF2_N,SNF2 family N-terminal domain,chromatin,,,,
PF00538,Linker_histone,linker histone H1 and H5 family,chromatin,,,,
PF12998,ING,Inhibitor of growth proteins N-terminal histone-binding,chromatin,,,,
PF15612,WHIM1,"WSTF, HB1, Itc1p, MBD9 motif 1",chromatin,,,,
PF10433,MMS1_N,Mono-functional DNA-alkylating methyl methanesulfonate N-term,chromatin,,,,
PF07904,Eaf7,Chromatin modification-related protein EAF7,chromatin,,,,
PF08586,Rsc14,"RSC complex, Rsc14/Ldb7 subunit",chromatin,,,,
PF11520,Cren7,Chromatin protein Cren7,chromatin,,,,
PF14612,Ino80_Iec3,"IEC3 subunit of the Ino80 complex, chromatin re-modelling",chromatin,,,,
PF14619,SnAC,"Snf2-ATP coupling, chromatin remodelling complex",chromatin,,,,
PF16719,SAWADEE,SAWADEE domain,chromatin,,,,
PF02791,DDT,DDT domain,chromatin,,,,
PF04000,Sas10_Utp3,Sas10/Utp3/C1D family,chromatin,,,,
PF06465,DUF1087,Domain of Unknown Function (DUF1087),chromatin,,,,
PF07496,zf-CW,CW-type Zinc Finger,chromatin,,,,
PF07569,Hira,TUP1-like enhancer of split,chromatin,,,,
PF08243,SPT2,SPT2 chromatin protein,chromatin,,,,
PF08433,KTI12,Chromatin associated protein KTI12 ,chromatin,,,,
PF08512,Rtt106,Histone chaperone Rttp106-like,chromatin,,,,
PF08624,CRC_subunit,Chromatin remodelling complex Rsc7/Swp82 subunit,chromatin,,,,
PF08644,SPT16,FACT complex subunit (SPT16/CDC68),chromatin,,,,
PF08766,DEK_C,DEK C terminal domain,chromatin,,,,
PF09011,HMG_box_2,HMG-box domain,chromatin,,,,
PF09453,HIRA_B,HIRA B motif,chromatin,,,,
PF10383,Clr2,Transcription-silencing protein Clr2 ,chromatin,,,,
PF10537,WAC_Acf1_DNA_bd,ATP-utilising chromatin assembly and remodelling N-terminal,chromatin,,,,
PF12253,CAF1A,Chromatin assembly factor 1 subunit A,chromatin,,,,
PF13865,FoP_duplication,C-terminal duplication domain of Friend of PRMT1,chromatin,,,,
PF13892,DBINO,DNA-binding domain,chromatin,,,,
PF14826,FACT-Spt16_Nlob,FACT complex subunit SPT16 N-terminal lobe domain,chromatin,,,,
PF15512,CAF-1_p60_C,"Chromatin assembly factor complex 1 subunit p60, C-terminal",chromatin,,,,
PF15613,WSD,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif",chromatin,,,,
PF16294,RSB_motif,RNSP1-SAP18 binding (RSB) motif,chromatin,,,,
PF17335,IES5,Ino80 complex subunit 5,chromatin,,,,
PF00439,Bromodomain,Bromodomain,chromatin,,,,
PF00855,PWWP,PWWP domain,chromatin,,,,
PF00956,NAP,Nucleosome assembly protein (NAP),chromatin,,,,
PF02731,SKIP_SNW,SKIP/SNW domain,chromatin,,,,
PF04684,BAF1_ABF1,BAF1 / ABF1 chromatin reorganising factor,chromatin,,,,
PF08839,CDT1,DNA replication factor CDT1 like,chromatin,,,,
PF11600,CAF-1_p150,"Chromatin assembly factor 1 complex p150 subunit, N-terminal",chromatin,,,,
PF16761,Clr2_transil,"Transcription-silencing protein, cryptic loci regulator Clr2",chromatin,,,,
PF17942,Morc6_S5,Morc6 ribosomal protein S5 domain 2-like,chromatin,,,,
PF17981,ADD_ATRX,Cysteine Rich ADD domain,chromatin,,,,
PF18585,zf-CCCH_6,Chromatin remodeling factor Mit1 C-terminal Zn finger 2,chromatin,,,,
PF18586,zf-CCCH_7,Chromatin remodeling factor Mit1 C-terminal Zn finger 1,chromatin,,,,
PF09510,Rtt102p,Rtt102p-like transcription regulator protein,chromatin,,,,
PF15511,CENP-T_C,Centromere kinetochore component CENP-T histone fold,chromatin,,,,
PF06382,Protamine_like,Protamine and protamine like,chromatin,,,,
PF08188,Protamine_3,Spermatozal protamine family,chromatin,,,,
PF08193,INO80_Ies4,INO80 complex subunit Ies4,chromatin,,,,
PF09026,CENP-B_dimeris,Centromere protein B dimerisation domain,chromatin,,,,
PF10394,Hat1_N,Histone acetyl transferase HAT1 N-terminus,chromatin,,,,
PF01429,MBD,Methyl-CpG binding domain,chromatin,,,,
PF01698,SAM_LFY,Floricaula / Leafy protein SAM domain,chromatin,,,,
PF02008,zf-CXXC,CXXC zinc finger domain,chromatin,,,,
PF02182,SAD_SRA,SAD/SRA domain,chromatin,,,,
PF02301,HORMA,HORMA domain,chromatin,,,,
PF02463,SMC_N,RecF/RecN/SMC N terminal domain,chromatin,,,,
PF03353,Lin-8,Ras-mediated vulval-induction antagonist,chromatin,,,,
PF03399,SAC3_GANP,SAC3/GANP family,chromatin,,,,
PF03660,PHF5,PHF5-like protein,chromatin,,,,
PF04042,DNA_pol_E_B,DNA polymerase alpha/epsilon subunit B,chromatin,,,,
PF04732,Filament_head,Intermediate filament head (DNA binding) region,chromatin,,,,
PF05066,HARE-HTH,"HB1, ASXL, restriction endonuclease HTH domain",chromatin,,,,
PF05499,DMAP1,DNA methyltransferase 1-associated protein 1 (DMAP1),chromatin,,,,
PF05786,Cnd2,Condensin complex subunit 2,chromatin,,,,
PF06093,Spt4,Spt4/RpoE2 zinc finger,chromatin,,,,
PF06209,COBRA1,Cofactor of BRCA1 (COBRA1),chromatin,,,,
PF06553,BNIP3,BNIP3,chromatin,,,,
PF06752,E_Pc_C,Enhancer of Polycomb C-terminus,chromatin,,,,
PF07034,ORC3_N,Origin recognition complex (ORC) subunit 3 N-terminus,chromatin,,,,
PF07052,Hep_59,Hepatocellular carcinoma-associated antigen 59,chromatin,,,,
PF07084,Spot_14,Thyroid hormone-inducible hepatic protein Spot 14,chromatin,,,,
PF07188,KSHV_K8,Kaposi's sarcoma-associated herpesvirus (KSHV) K8 protein,chromatin,,,,
PF07227,PHD_Oberon,PHD - plant homeodomain finger protein,chromatin,,,,
PF07432,Hc1,Histone H1-like protein Hc1,chromatin,,,,
PF07814,WAPL,Wings apart-like protein regulation of heterochromatin,chromatin,,,,
PF08214,HAT_KAT11,Histone acetylation protein,chromatin,,,,
PF08424,NRDE-2,"NRDE-2, necessary for RNA interference",chromatin,,,,
PF08638,Med14,Mediator complex subunit MED14,chromatin,,,,
PF08639,SLD3,DNA replication regulator SLD3,chromatin,,,,
PF09133,SANTA,SANTA (SANT Associated),chromatin,,,,
PF09332,Mcm10,Mcm10 replication factor,chromatin,,,,
PF09402,MSC,Man1-Src1p-C-terminal domain,chromatin,,,,
PF09465,LBR_tudor,Lamin-B receptor of TUDOR domain,chromatin,,,,
PF09666,Sororin,Sororin protein,chromatin,,,,
PF09692,Arb1,Argonaute siRNA chaperone (ARC) complex subunit Arb1,chromatin,,,,
PF09733,VEFS-Box,VEFS-Box of polycomb protein,chromatin,,,,
PF09757,Arb2,Arb2 domain,chromatin,,,,
PF10521,Tti2,Tti2 family ,chromatin,,,,
PF10523,BEN,BEN domain,chromatin,,,,
PF11467,LEDGF,Lens epithelium-derived growth factor (LEDGF) ,chromatin,,,,
PF11560,LAP2alpha,Lamina-associated polypeptide 2 alpha,chromatin,,,,
PF11603,Sir1,Regulatory protein Sir1,chromatin,,,,
PF11626,Rap1_C,TRF2-interacting telomeric protein/Rap1 - C terminal domain,chromatin,,,,
PF12031,BAF250_C,SWI/SNF-like complex subunit BAF250/Osa ,chromatin,,,,
PF12148,TTD,Tandem tudor domain within UHRF1,chromatin,,,,
PF12346,HJURP_mid,Holliday junction recognition protein-associated repeat,chromatin,,,,
PF12460,MMS19_C,RNAPII transcription regulator C-terminal,chromatin,,,,
PF12881,NUT,NUT protein,chromatin,,,,
PF12898,Stc1,Stc1 domain,chromatin,,,,
PF13891,zf-C3Hc3H,Potential DNA-binding domain,chromatin,,,,
PF13919,ASXH,Asx homology domain,chromatin,,,,
PF14051,Requiem_N,N-terminal domain of DPF2/REQ.,chromatin,,,,
PF14075,UBN_AB,Ubinuclein conserved middle domain,chromatin,,,,
PF14441,OTT_1508_deam,OTT_1508-like deaminase,chromatin,,,,
PF15386,Tantalus,Drosophila Tantalus-like,chromatin,,,,
PF15620,CENP-C_mid,Centromere assembly component CENP-C middle DNMT3B-binding region,chromatin,,,,
PF15622,CENP_C_N,Kinetochore assembly subunit CENP-C N-terminal,chromatin,,,,
PF15771,IHO1,Interactor of HORMAD1 protein 1,chromatin,,,,
PF15863,EELM2,Extended EGL-27 and MTA1 homology domain,chromatin,,,,
PF16312,Oberon_cc,Coiled-coil region of Oberon,chromatin,,,,
PF16534,ULD,Ubiquitin-like oligomerisation domain of SATB,chromatin,,,,
PF16557,CUTL,CUT1-like DNA-binding domain of SATB,chromatin,,,,
PF16566,CREPT,Cell-cycle alteration and expression-elevated protein in tumour,chromatin,,,,
PF16783,FANCM-MHF_bd,FANCM to MHF binding domain,chromatin,,,,
PF17097,Kre28,Spindle pole body component,chromatin,,,,
PF17330,SWC7,"SWR1 chromatin-remodelling complex, sub-unit Swc7",chromatin,,,,
PF00841,Protamine_P2,Sperm histone P2,chromatin,,,,
PF03066,Nucleoplasmin,Nucleoplasmin/nucleophosmin domain,chromatin,,,,
PF03381,CDC50,LEM3 (ligand-effect modulator 3) family / CDC50 family,chromatin,,,,
PF05847,Baculo_LEF-3,Nucleopolyhedrovirus late expression factor 3 (LEF-3),chromatin,,,,
PF08517,AXH,Ataxin-1 and HBP1 module (AXH),chromatin,,,,
PF09187,RdDM_RDM1,RNA-directed DNA methylation 1,chromatin,,,,
PF09230,DFF40,DNA fragmentation factor 40 kDa,chromatin,,,,
PF10044,LIN52,Retinal tissue protein,chromatin,,,,
PF12064,DUF3544,Protein kinase C-binding protein 1,chromatin,,,,
PF14500,MMS19_N,Dos2-interacting transcription regulator of RNA-Pol-II,chromatin,,,,
PF15223,EPOP,Elongin BC and Polycomb repressive complex 2-associated protein,chromatin,,,,
PF15460,SAS4,"Something about silencing, SAS, complex subunit 4",chromatin,,,,
PF15463,ECM11,Extracellular mutant protein 11,chromatin,,,,
PF15626,mono-CXXC,single CXXC unit,chromatin,,,,
PF17980,ADD_DNMT3,Cysteine rich ADD domain in DNMT3,chromatin,,,,
PF17982,C5HCH,NSD Cys-His rich domain,chromatin,,,,
PF18028,Zmiz1_N,Zmiz1 N-terminal tetratricopeptide repeat domain,chromatin,,,,
PF18118,PRC2_HTH_1,Polycomb repressive complex 2 tri-helical domain,chromatin,,,,
PF18192,DNTTIP1_dimer,DNTTIP1 dimerisation domain,chromatin,,,,
PF18210,Knl1_RWD_C,Knl1 RWD C-terminal domain,chromatin,,,,
PF18263,MCM6_C,MCM6 C-terminal winged-helix domain,chromatin,,,,
PF18300,DUF5604,Domain of unknown function (DUF5604),chromatin,,,,
PF18359,TUDOR_5,Histone methyltransferase Tudor domain 1,chromatin,,,,
PF18375,CDH1_2_SANT_HL1,CDH1/2 SANT-Helical linker 1,chromatin,,,,
PF18410,BTHB,Basic tilted helix bundle domain,chromatin,,,,
PF18584,SYCP2_SLD,Synaptonemal complex 2 Spt16M-like domain,chromatin,,,,
PF18600,Ezh2_MCSS,MCSS domain,chromatin,,,,
PF18601,EZH2_N,EZH2 N-terminal domain,chromatin,,,,
PF18658,zf-C2H2_12,Zinc-finger C2H2-type,chromatin,,,,
PF18704,Chromo_2,Chromatin organization modifier domain 2,chromatin,,,,
PF18755,RAMA,Restriction Enzyme Adenine Methylase Associated,chromatin,,,,
PF07808,RED_N,RED-like protein N-terminal region,nucleus,,,,
PF08559,Cut8,"Cut8, nuclear proteasome tether protein",nucleus,,,,
PF03367,zf-ZPR1,ZPR1 zinc-finger domain,nucleus,,,,
PF03378,CAS_CSE1,"CAS/CSE protein, C-terminus",nucleus,,,,
PF07458,SPAN-X,"Sperm protein associated with nucleus, mapped to X chromosome",nucleus,,,,
PF08389,Xpo1,Exportin 1-like protein,nucleus,,,,
PF10258,RNA_GG_bind,PHAX RNA-binding domain,nucleus,,,,
PF16294,RSB_motif,RNSP1-SAP18 binding (RSB) motif,nucleus,,,,
PF00956,NAP,Nucleosome assembly protein (NAP),nucleus,,,,
PF01749,IBB,Importin beta binding domain,nucleus,,,,
PF04771,CAV_VP3,Chicken anaemia virus VP-3 protein,nucleus,,,,
PF07967,zf-C3HC,C3HC zinc finger-like ,nucleus,,,,
PF15476,SAP25,Histone deacetylase complex subunit SAP25,nucleus,,,,
PF15682,Mustang,"Musculoskeletal, temporally activated-embryonic nuclear protein 1",nucleus,,,,
PF00907,T-box,T-box,nucleus,,,,
PF09751,Es2,Nuclear protein Es2,nucleus,,,,
PF15340,COPR5,Cooperator of PRMT5 family,nucleus,,,,
PF00600,Flu_NS1,Influenza non-structural protein (NS1),nucleus,,,,
PF01660,Vmethyltransf,Viral methyltransferase,nucleus,,,,
PF01677,Herpes_UL7,Herpesvirus UL7 like,nucleus,,,,
PF02146,SIR2,Sir2 family,nucleus,,,,
PF02330,MAM33,Mitochondrial glycoprotein,nucleus,,,,
PF03044,Herpes_UL16,Herpesvirus UL16/UL94 family,nucleus,,,,
PF03660,PHF5,PHF5-like protein,nucleus,,,,
PF04603,Mog1,Ran-interacting Mog1 protein,nucleus,,,,
PF04664,OGFr_N,Opioid growth factor receptor (OGFr) conserved region,nucleus,,,,
PF04913,Baculo_Y142,Baculovirus Y142 protein,nucleus,,,,
PF04979,IPP-2,Protein phosphatase inhibitor 2 (IPP-2),nucleus,,,,
PF05054,AcMNPV_Ac109,Autographa californica nuclear polyhedrosis virus (AcMNPV) protein,nucleus,,,,
PF05076,SUFU,Suppressor of fused protein (SUFU),nucleus,,,,
PF05285,SDA1,SDA1,nucleus,,,,
